Date,Open,High,Low,Close,Adj Close,Volume
18/3/2016,3.84,3.9,3.83,3.89,3.18764,31731300
21/3/2016,3.9,3.9,3.81,3.86,3.163057,22665200
22/3/2016,3.86,3.87,3.83,3.86,3.163057,13734700
23/3/2016,3.83,3.86,3.8,3.83,3.138474,14039500
24/3/2016,3.82,3.84,3.79,3.82,3.130279,15451000
28/3/2016,3.84,3.84,3.79,3.82,3.130279,24768000
29/3/2016,3.84,3.84,3.79,3.79,3.105696,15248500
30/3/2016,3.82,3.87,3.82,3.85,3.154863,20730700
31/3/2016,3.79,3.83,3.77,3.82,3.130279,27522700
1/4/2016,3.77,3.8,3.75,3.75,3.072918,17470500
4/4/2016,3.78,3.82,3.77,3.8,3.113891,14338000
5/4/2016,3.77,3.77,3.71,3.74,3.064724,21162500
6/4/2016,3.76,3.79,3.73,3.77,3.089307,20177300
7/4/2016,3.77,3.78,3.71,3.72,3.048335,17732400
8/4/2016,3.69,3.71,3.66,3.71,3.04014,12641000
11/4/2016,3.69,3.7,3.65,3.66,2.999168,21910200
12/4/2016,3.67,3.7,3.66,3.69,3.023752,10765500
13/4/2016,3.72,3.84,3.72,3.82,3.130279,31602000
14/4/2016,3.83,3.84,3.8,3.81,3.122085,23632200
15/4/2016,3.8,3.84,3.79,3.84,3.146668,14482000
18/4/2016,3.82,3.87,3.81,3.86,3.163057,14593400
19/4/2016,3.9,3.96,3.89,3.96,3.245002,30932200
20/4/2016,3.99,3.99,3.9,3.95,3.236807,31594400
21/4/2016,3.96,3.98,3.92,3.97,3.253196,25122200
22/4/2016,3.96,3.98,3.93,3.97,3.253196,20908300
25/4/2016,3.96,3.96,3.88,3.89,3.18764,17722200
26/4/2016,3.9,3.96,3.88,3.93,3.220419,21097500
27/4/2016,3.93,3.93,3.85,3.85,3.154863,18512000
28/4/2016,3.89,3.9,3.82,3.86,3.163057,18306400
29/4/2016,3.88,3.88,3.82,3.86,3.163057,19473400
3/5/2016,3.85,3.86,3.8,3.83,3.138474,22366400
4/5/2016,3.79,3.81,3.74,3.76,3.081113,27885100
5/5/2016,3.77,3.81,3.75,3.78,3.097502,24001700
6/5/2016,3.76,3.83,3.75,3.76,3.081113,31535300
9/5/2016,3.78,3.9,3.78,3.89,3.18764,29109100
10/5/2016,3.87,3.89,3.83,3.83,3.138474,19791400
11/5/2016,3.84,3.86,3.79,3.84,3.146668,21499700
12/5/2016,3.84,3.89,3.82,3.89,3.18764,15944100
13/5/2016,3.87,3.88,3.81,3.88,3.179446,19198000
16/5/2016,3.88,3.91,3.87,3.87,3.171251,14881600
17/5/2016,3.88,3.9,3.86,3.9,3.195835,12717800
